"subject" "activity" "signal" "variable" "average"
1 "walking" "fBodyAcc" "mean" -0.960970226099291
1 "walking" "fBodyAcc" "std" -0.942718959219858
1 "walking" "fBodyAccJerk" "mean" -0.984743193971631
1 "walking" "fBodyAccJerk" "std" -0.986115362978723
1 "walking" "fBodyGyro" "mean" -0.967771864609929
1 "walking" "fBodyGyro" "std" -0.961389036879433
1 "walking" "tBodyAcc" "mean" 0.0517950318395035
1 "walking" "tBodyAcc" "std" -0.946477980425532
1 "walking" "tBodyAccJerk" "mean" 0.0244985416073759
1 "walking" "tBodyAccJerk" "std" -0.985237827021277
1 "walking" "tBodyGyro" "mean" -0.0247809434191489
1 "walking" "tBodyGyro" "std" -0.961703699787234
1 "walking" "tBodyGyroJerk" "mean" -0.0601979400496454
1 "walking" "tBodyGyroJerk" "std" -0.989728489007092
1 "walking" "tGravityAcc" "mean" 0.455988409617021
1 "walking" "tGravityAcc" "std" -0.951005044964539
1 "walking_upstairs" "fBodyAcc" "mean" -0.896277044593333
1 "walking_upstairs" "fBodyAcc" "std" -0.856984850046667
1 "walking_upstairs" "fBodyAccJerk" "mean" -0.942532465933333
1 "walking_upstairs" "fBodyAccJerk" "std" -0.9523218554
1 "walking_upstairs" "fBodyGyro" "mean" -0.903914463462
1 "walking_upstairs" "fBodyGyro" "std" -0.916703669466667
1 "walking_upstairs" "tBodyAcc" "mean" 0.0226269123102
1 "walking_upstairs" "tBodyAcc" "std" -0.863648425482667
1 "walking_upstairs" "tBodyAccJerk" "mean" 0.0319196581899333
1 "walking_upstairs" "tBodyAccJerk" "std" -0.945828832133333
1 "walking_upstairs" "tBodyGyro" "mean" 0.0225500727313333
1 "walking_upstairs" "tBodyGyro" "std" -0.910972990206667
1 "walking_upstairs" "tBodyGyroJerk" "mean" -0.074279452394
1 "walking_upstairs" "tBodyGyroJerk" "std" -0.948101974666667
1 "walking_upstairs" "tGravityAcc" "mean" 0.300828564993333
1 "walking_upstairs" "tGravityAcc" "std" -0.885638771793333
1 "walking_downstairs" "fBodyAcc" "mean" -0.985872626352201
1 "walking_downstairs" "fBodyAcc" "std" -0.982086235597484
1 "walking_downstairs" "fBodyAccJerk" "mean" -0.990267222641509
1 "walking_downstairs" "fBodyAccJerk" "std" -0.991480601383648
1 "walking_downstairs" "fBodyGyro" "mean" -0.98538145490566
1 "walking_downstairs" "fBodyGyro" "std" -0.985650062138365
1 "walking_downstairs" "tBodyAcc" "mean" 0.0507260737389937
1 "walking_downstairs" "tBodyAcc" "std" -0.98290861163522
1 "walking_downstairs" "tBodyAccJerk" "mean" 0.0265557118692075
1 "walking_downstairs" "tBodyAccJerk" "std" -0.990834817358491
1 "walking_downstairs" "tBodyGyro" "mean" -0.00286140159301887
1 "walking_downstairs" "tBodyGyro" "std" -0.985190671194969
1 "walking_downstairs" "tBodyGyroJerk" "mean" -0.0642075157899371
1 "walking_downstairs" "tBodyGyroJerk" "std" -0.993397163836478
1 "walking_downstairs" "tGravityAcc" "mean" 0.227819583478616
1 "walking_downstairs" "tGravityAcc" "std" -0.983771002201258
1 "sitting" "fBodyAcc" "mean" -0.342882735679245
1 "sitting" "fBodyAcc" "std" -0.0765673745459119
1 "sitting" "fBodyAccJerk" "mean" -0.526264729056604
1 "sitting" "fBodyAccJerk" "std" -0.523241430628931
1 "sitting" "fBodyGyro" "mean" -0.421894496666667
1 "sitting" "fBodyGyro" "std" -0.32868714172956
1 "sitting" "tBodyAcc" "mean" 0.0447355127546541
1 "sitting" "tBodyAcc" "std" -0.12550250965283
1 "sitting" "tBodyAccJerk" "mean" 0.0250988308767296
1 "sitting" "tBodyAccJerk" "std" -0.51057061490566
1 "sitting" "tBodyGyro" "mean" -0.019087029645283
1 "sitting" "tBodyGyro" "std" -0.349311531878616
1 "sitting" "tBodyGyroJerk" "mean" -0.0683646364092453
1 "sitting" "tBodyGyroJerk" "std" -0.607605055660377
1 "sitting" "tGravityAcc" "mean" 0.15193159781761
1 "sitting" "tGravityAcc" "std" -0.940531890503145
1 "standing" "fBodyAcc" "mean" -0.0619317935689796
1 "standing" "fBodyAcc" "std" -0.128853598502721
1 "standing" "fBodyAccJerk" "mean" -0.14822192032517
1 "standing" "fBodyAccJerk" "std" -0.207543123267823
1 "standing" "fBodyGyro" "mean" -0.146673770343537
1 "standing" "fBodyGyro" "std" -0.305093593355102
1 "standing" "tBodyAcc" "mean" 0.057234541629932
1 "standing" "tBodyAcc" "std" -0.0774449394348912
1 "standing" "tBodyAccJerk" "mean" 0.024277930837415
1 "standing" "tBodyAccJerk" "std" -0.153206761170748
1 "standing" "tBodyGyro" "mean" -0.0119767683721088
1 "standing" "tBodyGyro" "std" -0.236360730706803
1 "standing" "tBodyGyroJerk" "mean" -0.04833186269
1 "standing" "tBodyGyroJerk" "std" -0.331537883339456
1 "standing" "tGravityAcc" "mean" 0.201048040468707
1 "standing" "tGravityAcc" "std" -0.927839388571429
1 "laying" "fBodyAcc" "mean" -0.148213899237895
1 "laying" "fBodyAcc" "std" -0.180927154742561
